제목,아이디,댓글 제목,내용,작성일자
동피랑마을,piggy h,"동피랑을 사랑하지만, 주말에는 힘이듭니다","동피랑을 훌륭한 미술가들의 그림을 기대하시고 가서는 안됩니다. 동피랑의 벽화는 주기마다 변경이되며, 그 과정에서 지역 주민들(중고등학교 동아리 등)이 참가하여 그림을 그리기 때문에 지역주민들의 삶이, 손때가 묻은 공간이라고 이해하고 가시는 것이 좋습니다. 동피랑의 멋과 맛은 길의 벽화보다도 동피랑을 올라가며 보는 통영 항구의 전망인것 같습니다.벽화와 사진을 찍고 싶으시다면 관람객이 적은 날을 선택해서 가시는 것이 좋습니다. 관람객이 많이 몰리는 주말에는 사진은 커녕, 내가 원하는 속도로 걸어올라가지도 못합니다. 거리가 좁기 때문에 사람들의 속도에 맞춰 걸어가야 한답니다.",2017년 6월 25일
동피랑마을,TomSeoul,포토 스팟이 정말 많아요~,"한번 만들어지고 끝이 아니라, 계속 관리되고 있고 주민들과 공생하는 관광지라는 느낌이라 참 좋았어요. 사진스팟이 많아서 사진 찍기 좋아하는 사람들은 딱이겠다 싶었고, 바다도 내려다 보여서 참 좋았어요~",2017년 6월 13일
동피랑마을,hyojinj2017,사진찍기 좋아요,통영에 갈때마다 빠지지 않고 오르는 동피랑 마을요샌 사람들이 너무 많지만 너무너무 예쁜 마을 통영앞바다가 바로 보여요,2017년 6월 2일 
동피랑마을,동란 김,예쁜데 특색없다,나이탓인가. 다들 예쁘다는데 다들 좋다는데 나는 별로인 곳이 많다. 벽화가 사진찍으니 예쁜데 그것말고 이곳에서 내가 느끼는건 없다. 아치 사진으론 예쁜데 맛없는 식사를 한것같다. sns광고가 돼야 뜬다는 공식같은 동네.이곳만의 존재이유는? 통영과 이곳은 어떻게 연결 되는건지? 내 젊은 날의 기억과 만나 기분좋게 화해하려해도 도무지 아름다운 통영의 기억과 이마을 벽화와 동네...왜 통영스러운지를 누가 말좀 해주면 좋겠다,2017년 5월 27일
동피랑마을,KEUNWOO,아담하고 섬세한 경치좋은 마을,"가족끼리 남해 지역을 돌다가, 통영에 들러서 벽화마을을 갔습니다. 초등학생 아이가 좋아라 하더군요. 인천 차이나타운 근처의 벽화마을도 가봤었는데, 각각의 특색이 달라서 여기 또한 좋았습니다. 정상에서 내려다보는 통영항의 모습도 좋았구요.",2017년 5월 22일
동피랑마을,잇츠,사람이 정말 많네요.,통영에 여행오는 이유중에 하나가 동피랑 벽화마을이라서 그런지 근처에 주차하고 보기 매우 어려웠습니다. 주차시설을 어떻게 보완해야 할 것 같습니다.,2017년 5월 16일
동피랑마을,jinweono,여행,가족과 함께한 통영여행 동피랑에서 사진 촬영을 하였다. 봄날 무더움에도 불구하고 많은 사람들이 찾는곳 동피랑에 갈때는 충분한 시간적인 여유를 두고 방문하는것이 좋을듯 하다. 그리고 카페에 꼭들러 시원한 아이스커피 한잔을 하는것도 괜찮음 구석 구석 그려져 있는 벽화를 찾아보는것도 하나의 묘미이다.,2017년 5월 13일
동피랑마을,mihye yun,그림이 있는 마을,동피랑 벽화마을아름다운 사진을 찍기에 매우 좋다높은곳네서 바라보는 통영 앞 바다도 볼수 있어만족도가 높은것 같다아이들과도 충분히 즐겁게 즐길 수 있으며 사진이 매우 잘 나오는게 다으냐와서도 다 다른장소인듯한 느낌의사진을 보게된다단지 길의 이정표가 좀더 잘 갖춰져있고 차가 다니는게성수기 복잡한 날에 보니 이건 좀 아닌것 같다는 느낌이다인도와 차도가 좀 정비되어 안전하게 관광을 할 수 있으며 주민들의 편의도 보장되는 교통여건이 시급해보인다,2017년 5월 5일 
동피랑마을,Ella332,벽화마을,경사도 심하고 사람도 많다고 해서 방문하기에 앞서 걱정이 많았는데 노파심이었어요. 점심먹고 가볍게 산책하기 좋았습니다. 사진찍기 귀찮아하던 아이들이 어찌나 사진 찍겠다고 욕심을 부리던지... 흐뭇했답니다.,2017년 4월 11일
동피랑마을,장두현,기념사진 찍기 정말 좋은 동피랑 벽화 마을!,전국에서 모인 아티스트들이 수놓은 그림들로 아기자기한 골목길이 예쁜 곳이에요. 연인끼리 가도 좋고 친구끼리 가도 좋을 듯합니다. 가파른 골목길이라 아기를 데리고 가기엔 무리가 있어 보입니다. 다시 찾고 싶은 곳이네요. :),2017년 3월 17일
동피랑마을,이ㄴㅇㅓㅇㅏㅈㅓㅆㅣ,사진 찍기 좋고 전망이 좋은 마을,"처음엔 그렇게 기대 안 하고 갔는데,의외로 벽화들이 예쁘고 주기적으로새 그림을 채워넣어서 깔끔하게 관리되는 인상을 받았습니다.주말엔 사람들이 많고마을 정상에서 바라보는 통영 앞바다의 조망도 훌륭하더군요.",2017년 3월 13일
동피랑마을,미선 최,복잡하고 정신없는 거리,서울이 북촌마을을 떠올리다가...뭔가 아기자기한것이 닮은듯 다른 느낌.. 일요일에 다녀왔는데 좁은거리에 차량이 너무 많아 사고도 목격하였습니다~ 차는 부디 큰 주차장에 두시고 걸어서 구경하세요^,2017년 2월 27일
동피랑마을,슈슈망,생각보다 넓지는 않았지만,"생각보다 넓지는 않았지만,통영의 유명한 곳이라고 해서 들려봄.몽마르다 언덕 카페의 뷰와, 친절한 사장님이 인상적.",2017년 2월 14일
동피랑마을,Sung Hee K,가을나들이,가을나들이로 동피랑마을 구경갔었는데 사람도 많긴 했지만 좁은 골목길로 차가 얼마나 다니는지 벽화 구경도 사진도 찍기 힘들었어요,2017년 1월 14일
동피랑마을,judy489,벽화가 멋지다.,석화를 중앙시장에서 사고 동피 벽화 마을에 갔다. 드라마에서 나온 천사 날개도 있고 이쁜카페도 많다.,2017년 1월 8일 
동피랑마을,Xoxo221,예쁜마을,사진을 막찍어도 예쁘게 나오고 좋았는데 한여름에 방문해서 정말 더워 죽는줄알았어요.. 그늘이 전혀 없고 오르막길이있어서 더위에 약하신분들은 여름에 가는건 생각해보셔야할듯ㅋㅋ 그래도 너무 예쁜곳이예요,2016년 12월 29
동피랑마을,피 카,빠담빠담 기억하신가요.,이 드라마 보시면 생각이 많이 났을 것 같습니다. 통영의 이미지랑 매우 어우러졌다는 생각입니다. 통영관광지는 바닷가랑 연계되서 여행하기 좋은 곳입니다. 카페에 앉아서 잠시 생각하면 더 좋은 여행이 될 듯합니다.,2016년 12월 4일
동피랑마을,Yuyumi85,통영에 왔으면 꼭 들를 곳.,통영의 빛과 어우러져 색감이 너무 예쁜 곳입니다. 꼭대기에 있는 까페에서 보이는 바닷가 풍경이 정말 일품이예요.,2016년 11월 23
동피랑마을,Choi,통영의 명소 중 하나,주말에 다녀오니 여행자로 북적여서 나름 여행지(?) 같은 느낌이었습니다. 다만 주변 여행지와 연계가 부족한 점은 아쉬웠습니다.,2016년 11월 13
동피랑마을,calvin337,동피랑 벽화마을,부산 감천마을 생각하고 갔는데 거기보다는 규모가 훨씬 작다. 카페에서 달고나 했는데 옛날 생각나서 추억 돋았던게 좋았다.,2016년 10월 30
동피랑마을,Adelaveronica,아기자기 예쁜 마을,"아기자기 예쁜 마을이예요~ 곳곳에 벽화를 구경하는게 재밌네요~ 많은 커플들과 가족들, 친구들, 여행객들로 북적거립니다~ 천사 날개 있는 곳은 사진 찍느라 줄을 서 있고 중간에 커피숍도 들리고 한바퀴 쉬엄쉬엄 돌아다니기 좋아요~ 통영가면 가보세요~",2016년 10월 26
동피랑마을,mildnesslove,짧은 동선 붐비는 사람들,통영이 이쁘다고 하는데 구경보단 맛집이 많은것 같습니다. 통영중앙시장 둘러보며 한번쯤 들러보면 좋을 것 같아요. 조금만 걸어올라가면 정상인데 그곳에서 통영을 둘러보는 경치는 이쁩니다.,2016년 10월 18
동피랑마을,heeseoungl,기대 대비 크게 볼것은 없는,"벽화가 그려진 마을이라고 해서나름 기대하고 갔으나, 크게 볼것은 없음소소하게 사진찍는 곳으로 가볼만은 하나아이들이 힘들어함",2016년 10월 9일
동피랑마을,여행은힘들어,한 번은 가 볼 만 합니다.,통영 중앙시장 근처 언덕에 있는 동네인데 벽화로 유명해진 마을입니다. 주말마다 찾는 사람이 무척 많습니다. 벽화 구경하면서 천천히 걸으면 전망대 같은 곳에 도착하는데 거기서 항구와 마을을 내려다 볼 수 있어 좋았습니다. 너무 많은 사람이 와서 주민들이 불편해한다는 소리도 들려오니 주의해서 방문해야 합니다.,2016년 10월 3일
동피랑마을,성숙 김,그림이 예쁜 벽화마을,생각한거보다 그림이 너무 좋아요 그림도 예쁘고 달랑 몇개가 아니라 전체적으로 분위기 좋았어요 강추~^^,2016년 9월 1일 
동피랑마을,미경 김,천사날개찾아서,넘넘 더워서 고생한 기억 요일별로 주차허용구간이 있는게관광객을 배려하는모습이 보여서좋았다,2016년 8월 26일
동피랑마을,duck3222,통영을 대표할만하죠~,사진을 엄청 찍고왔어요~ 더위탓에 오르는게 쉽지는 않았지만~그래도 저는.. 열씸히 구석구석을 보려고 노렸했어요~ 특히 천사 날개있는곳은 사람들이 너무 많아서 줄서서 겨우 찍었지만.. 베스트 포토죤이었습니다. 마을에 사람이 사는곳이라 담벼락만 딱보고 조용히 사진찍고 지나갔어요.. 동네주민들이 힘들꺼 같더라구요~ ㅠ.ㅠ 중간에 카페에서 커피도 사서 머곡 그늘이 있는곳에 앉아 먼 바다?를 바라보며 쉬다가 내려왔어요~,2016년 8월 25일
동피랑마을,nkpd00,사진찍기 좋은곳,"사진찍기 좋은 벽화들이 있고, 구불구불한 골목을 걷는 맛도 있었습니다. 다만 폭염경보가 내려진날 한낮에 가기에는 넘 힘들었어요..",2016년 8월 16일
동피랑마을,bellidis,동파루에서 바라본 통영풍경,너무 뜨거울 때 방문해서 모든 골목을 샅샅이 돌아보지는 않았고 사진 찍으면서 슬슬 올라가서 동파루에서 쉬었다. 동파루에서 바라본 통영의 풍경과 바람이 참 좋았다.,2016년 8월 10일
동피랑마을,Sung H,예전같지 않네요,예전에 좋은 기억을 갖고 친구들을 데리고 다시 방문을 하였는데..관리가 잘 안되어 있는것 같았습니다. 노을을 보려고 시간 맞춰 갔었지만 모기떼가 너무 많아 포기하고 그냥 돌아왔습니다. 마을 사람들은 다 떠나고 이제는 카페와 상점들만 즐비한것 같아 아쉽습니다.,2016년 7월 29일
동피랑마을,Young Kim,사진찍기 좋은장소,사진을 찍고 추억을 남기기엔 최고의 장소차를 가지고 간다면 주차가어렵고 통행이 어려우니 다른 곳에 세워두고 도보로 걸어가는 것을 추천,2016년 7월 6일 
동피랑마을,xururuca319,좋습니다,언덕에 마을이 위치하고 있어 다소 힘들기는 하지만 다양한 벽화가 그려진 마을을 구경하는 재미가 있습니다.,2016년 6월 20일
동피랑마을,hl7ylz,그냥 지나다가 들리기엔 좋은 곳,굳이 찾아서 들리기 보다는 지나는 길에 잠시 들리기에는 괜찮아요. 사진찍기 괜찮아요. 우린 근처 시장에서 회거리 사려고 갔다가 들렸는데 좋았어요. 입소문이 이제는 많이 나서 사람들이 많은데 주민분들에게 실례가 되지는 않을까 조금 걱정됐습니다. 그림도 선명도가 많이 옅어져서 아쉽네요.,2016년 6월 15일
동피랑마을,Keuroo K,너무너무 좋은 곳이지만!!,사람이 엄청 많아서 -1 ㅋㅋㅋ사진 찍을래도 사람이 너무 많아서 기다릴수가 없다 ㅋㅋㅋㅋ뜨아아아아,2016년 6월 9일 
동피랑마을,suinjang,사람만 많고 정신 없어요...,"초입에서 조금 올라갔다가 미련없이 내려왔어요~방송의 힘인지 사람 엄청 많고벽화도 그린지 오래됐는지... 많이 퇴색된듯 하더라구요...끝까지 안 가보고 내려온게 아쉬웠는데,서피랑을 올라가보고는 동피랑을 버리기 잘 했다 싶었어요^^동피랑은 중앙시장과 가깝다보니 사람 많은거 감안하고 가셔야하구요~조용한걸 좋아하시면 적십자병원 뒷쪽에 있는 서피랑 추천합니다~서피랑에서 내려와서 충렬사 강한루에 앉아서 쉬니까 넘 좋았고,통영의 원래 여행색깔은 이렇게 천천히 걸으며 오래된 시골마을 정취를 느끼는 거구나 싶었어요.",2016년 6월 7일 
동피랑마을,YSPAPA,스치듯 들를 명소,"앞선 누군가의 리뷰처럼, 기대치가 낮다면 재미있는 곳입니다. 계단이 다소 가파르지만, 오밀조밀 골목길이 정겨운 느낌을 줍니다. 항구에서 들어오는 마을 입구엔 생뚱맞은 가게들이 즐비한데, 특색 없는 싸구려 음식으로 동피랑과 어울리진 않습니다. 새로 태어난 벼랑동네의 벽화 마을이란 컨셉을 잘 살릴 비즈니스 모델이 필요해 보이네요.",2016년 5월 30일
동피랑마을,BonSports,멋진 사진을 남길 수  있는곳,"작고 아름다운 벽화마을이다. 곳곳에 아름다운 벽화들이 있으며, 사진찍기에 정말 좋다. 언덕에 있어서 더운날가면 힘들지만, 둘러보는데 시간도 많이 걸리지 않고 좋다. 마을에 카페도 많아 쉬면서 둘러보기 좋은 곳이다.",2016년 5월 23일
동피랑마을,자몽귀신,유명한 동피랑 벽화마을,"기대치를 낮게 잡는다면, 충분히 만족하며 돌아볼 수 있다. 사진찍을 수 있는 포인트가 많으며 여러 벽화들을 즐길 수 있다. 공간은 조금 좁다고 생각되어 벽화를 예쁘게 담기는 약간 어렵다.",2016년 5월 19일
동피랑마을,seeun,음... 기대하신만큼은 아닐거에요..!,벽화를 본다..?는 느낌보다 여긴 사진찍으러 왔다 그냥 딱 그 느낌이에요...사진찍는것도 눈치보이고.. 사람들 못지나가게 하거든욬ㅋㅋㅋㅋㅋㅠ_ㅠ오르막길도 엄청 많아서 애기들하고 가시는분들은 비추에요..!!!,2016년 5월 12일
동피랑마을,지현2016,좋은,SNS에 올라와 한 번 가보고 싶었는데 실제로 와보니 소원성취했다 올라가는 길은 힘들었지만 거기서 내려다보는 전망이 멋졌다,2016년 5월 4일 
동피랑마을,한나 김,사실 큰 기대는 하지않았어요. 하지만!,"큰 기대는 하지 않았어요. 하지만!통영 어디든 관광지를 가면 전망이 너무 좋아서 안좋을수가 없어요.동피랑마을은 바다를 끼고 있는 통영시내전망이 참 멋진곳이예요.통영항바로앞이라 항구도 보이구요.벽화가 많아서 사진찍기도 좋고, 맛좋은 커피도 많이 팝니다.드라마 촬영도 많이 했더라구요.어업을 하는 바닷가 사람들의 생활을 느낄수 있는 느낌적인 느낌이랄까요^^바닷가의 짠내음과 전망이 잘 어우러지는 곳이랍니다.",2016년 5월 2일 
동피랑마을,hyejincho0169,밤 야경이 멋있는 곳,시간이 부족해서 저녁 해질무렵에 도착했습니다. 그림도 그렇고 벽화마을에서 내려다보는 통영항의 모습이 압권입니다. 우리 가족 모두 좋아했고 다음에도 꼭 가볼겁니다. ^^,2016년 5월 1일 
동피랑마을,시인,"통영의 명소, 공짜라 더 좋은 곳",여기 저기 벽화 마을이 많이 생겨 기대 보다는 덜 했지만 동피랑 벽화 마을에서 내려다보는 통영항 풍경이 멋졌어요.,2016년 4월 26일
동피랑마을,cheum3,꼭 방문해야할 동피락 벽화 마을,친구커플의 추천으로 통영을 가게되었는데동피랑 벽화 마을 가보니 너무 이쁘더라구요 !!사진도 많이 찍고 좋은추억 많이만들고왔어요,2016년 3월 2일 
동피랑마을,Sung H,경치 좋은 벽화 마을,벽화 마을로 유명한 동피랑입니다. 해질녁 언덕에 올라 걸으며 사진을 찍기에 좋은 곳입니다.,2016년 2월 29일
동피랑마을,ComiNyang,작지만 아름다운 마을^^,비가 보슬보슬 오는 날에 동피랑 마을을 걷는것이 낭만적이고 운치있어서 좋았습니다~ 벽화앞에서 사진 찍어 추억남기느라 정신없었던것같아요~ 작은 마을이긴하지만 경사진곳이 많아서 체력소모는 좀 있어요~ 든든히 먹은후에 구경하세용ㅋㄷ,2016년 2월 14일
동피랑마을,가빈짱,너무 이뻐요.,마을이 이쁜 벽화로 꾸며져있고 바다가 한눈에 들어와서 너무 좋더군요..유명한 곳인만큼 벽화앞에서 사진 한장 이라도 찍을라치면 줄이 길어서 흠이지만 그건 감수해야죠..,2016년 2월 3일 
동피랑마을,jacobvie,골목골목 아름다움이 묻어난다.,"동피랑 벽화마을에서 바라보는 통영 앞바다가 굉장히 아름답습니다. 생각보다 벽화가 많거나 아름답지는 않지만 벽화 외에 정겨운 골목길, 통영 앞바다의 시원함, 맛있는 커피가 2% 부족함을 채워주고도 남습니다.",2016년 2월 2일 
동피랑마을,Soo Hee P,벽화로 회생한 아름다운 동네,지금은 벽화마을이 여러곳에 생겼지만 여기가 초반에 만들어진 곳이라고 들었어요. 동네가 조용하고 아름다워 거닐면서 즐거웠네요.,2016년 1월 31일
동피랑마을,건꼬,통영에 가면 꼭 가봐야죠.,중앙시장이랑 연결되어 있어서 데파트에서 버스에서 내리면 5분 정도 걸어서 가면 도착할 수 있어요. 아침에 일찍 가야지 북적거리지 않아 사진 찍기 좋아요. 위에서 내려다보면 문화마당이 한 눈에 보이더라구요. 내려와서 꿀빵사먹고 했네요.,2016년 1월 23일
동피랑마을,169현준최,벽화가 그려진 통영의 아름다운 마을,"통영에서 가장 가고 싶었던 곳이 동피랑 벽화마을이었습니다. 차를 타고 동피랑마을에 내리자마자 벽화들과 통영 시내의 모습이 한눈에 보였습니다. 이곳은 부산의 감천문화마을처럼 벽화가 예쁘게 그려진 곳이며, 전망대로 올라가는 길에 예쁜 벽화들이 많아서 좋았습니다. 전망대에 오르니 아름다운 통영 시내의 모습이 한눈에 펼쳐졌고 조금 더 올라가니 정상에 정자가 있었습니다. 그리고 이곳은 통영 중앙시장 바로 옆에 위치하기 때문에 동피랑마을 구경 후 통영 중앙시장을 둘러보는 것도 나쁘지 않다고 생각합니다.",2016년 1월 21일
동피랑마을,난나아야,명성보다 약한 그림 실력,너무 많은 후기들을 일고 너무나 가보고 싶었으나 그림들의 아기자기함이나 정교함은 떨어짐.퇴색되고 바래고 떨어진 그림들에 대한 보수가 필요함.,2015년 12월 21
동피랑마을,상열정,여행~,"통영 시장,바닷가근접, 주차장 차를주차시키고,,벽화마을로 고고,,동화속의 그림들이 즐비함..10여분 올라가니 정상^^ 바다와 시내가 한눈에 그려짐...내려오는길도 동화속 에서 춤추다 다시 시장으로 원위치..아름다운 추억거리입니다",2015년 12월 15
동피랑마을,Minamon,사진찍기 좋은 통영의 명소 동피랑마을:),"통영에 독서테마탐방으로 친구들과 함께 방문하게 되었습니다! 박경리 문학관 부터 시작해 동피랑마을까지 가게 되었는데, 동피랑 마을에는 벽화가 그려져 있어요! 정말 다양하게ㅎㅎㅎ그래서 지나가는 곳마다 사진 찍기에 정말 좋습니다. 그리고 마을 위로 올라서면 통영이 한눈에 내려다 보이는데 마음도 탁 트이고! 통영을 담을 수 있어서 좋았어요-! 관광객들도 정말 많았어요ㅋㅋㅋㅋㅋ아 그 유명하다는 쌍욕라떼도 먹으려고 방문했는데 사람이 너무 많아 그냥 나왔습니다..ㅎㅎ",2015년 12월 8일
동피랑마을,민브라더스,동피랑 벽화,"동피랑에 처음 벽화가 있던 때와는 달리 유명세를 타면서 너무 많은 관광객이 몰리고, 벽화가 시즌마다 달라지며, 곳곳이 상업화 되어가는 느낌이 강합니다. 그럼에도 좁은 골목길 벽에 그려진 벽화와 그 아래로 아름다운 통영 강구안이 보이는 풍경은 매운 이채롭습니다. 너무 큰 기대는 하지 말고 방문하시기를 바랍니다. 그리고 집집마다 실제 주민들이 거주하는 곳이니 집안에 들어간다거나 옅보는 사생활 침해 행위 금지, 사진을 찍을 때나 나닐대 조용히 해야 한다는 점 꼭 기억하세요.",2015년 12월 8일
동피랑마을,열정이,동피랑 벽화 마을 방문기,"동피랑은 통영의 언덕위에 있는 작은 동네임. 통영의 명소 중앙시장과 강구안이랑 가까워 쉽게 찾을 수 있으며, 동네의 벽과 집 담장에는 이쁘고 다양한 그림들이 그려 있음. 연인들과 가족들과 함께 사직찍기 참 좋음. 동피랑 정상에는 정자가 있으며 작은 공연도 하고 통영의 바다로 바라 볼 수 있어 좋음. 경치가 끝내 줌. 석양이 질 무렵 더욱 아름다움.",2015년 12월 4일
동피랑마을,힌동가리,벽화마을 중 가장 손꼽히는,정말 많은 벽화들이 곳곳에 숨어있어요. 그걸 찾는 재미도 있구요. 사진찍기에는 정말 좋은 곳이에요. 마을 입구부터 뒤까지 쭉~걸으시면2시간 안으로 구경하실 수 있을 꺼에요. 입구쪽에 굴 튀김을 컵에 담아사 파는데 먹을만해요!,2015년 12월 3일
동피랑마을,nylee521,벽화가 가득한 마을,"통영을 가면 꼭 들르는 명소 중에 하나 인데요, 동피랑 마을 꼭대기에 올라가서 보는 통영 시내 야경이 볼만합니다.",2015년 11월 26
동피랑마을,NAMBONO,그림이 다양하고 넓어서 좋아요,그림이 다앙하고 예뻐요. 작년에 갔을 때와는 또 다른 그림들로 꾸며져 있어서 다시가도 좋았어요. 곳곳에 파는 통영꿀빵도 맛있어요. 재미있는 사진촬영하러 가기에 좋은 곳!,2015년 11월 24
동피랑마을,수정 신,그냥..,지나가면서 봤어요굳이 찾아갈 곳은 아닌 것 같아요ㅎㅎ... 요새는 이런곳이 많다보니 그런거 같아요,2015년 11월 22
동피랑마을,JeongHeon L,한번쯤은 가볼만 함.,"산책삼아 한번쯤은 둘러볼만 합니다.벽화, 마을 모습, 그리고 내려다 보이는 항구의 모습은 꽤 낭만적입니다.",2015년 11월 17
동피랑마을,hahahahahahahan,사람도 많고 다른벽화마을이랑 비슷함,사람도 너무 많고 다른 벽화마을을 많이 다녀서 그런지 비슷비슷하고 다른점을 못느꼈지만 언덕올라가서 내려다보는 경치는 좋왔음.,2015년 11월 12
동피랑마을,blanc82,아이들과 가면 좋은 곳,"친구와 아이들을 데리고 간 곳인데, 코스가 길지 않아 산책하기 좋았다.아이들이 너무 좋아해서 가족여행시 가봐도 좋을 것 같다.",2015년 11월 11
여좌천,Gyeongmi Kim,진해 군항제,6년 연속으로 군항제 시기마다 방문하고 있습니다. 같은 군항제지만 매년 조금씩 바뀌는 다양한 길거리 음식과 포토존들이 구경거리입니다. 군항제 기간 중 주말에 오신다면 독사진은 포기하시는게 심신 안정에 좋으며 꼭 독사진이 찍고 싶다면 전야제에 불꽃 놀이할 때 포기하고 이곳으로 오시는 것을 추천합니다.,2019년 7월 8일 
여좌천,희욱 김,여좌천 벚꽃이 이뻐요,여좌천 벚꽃이 진해 벚꽃 중에 제일 이뻐요. 경화역도 이쁘지만 밤에보는 여좌천 벚꽃은 조명과 조화로워서 예뻐요.축제기간에는 조형물도 있어서 사진찍기도 좋구요,2019년 7월 2일 
여좌천,"NASIN, 김나신",벚꽃이 피면 너무나 아름다운 곳,사람들도 많고 벚꽃도 많습니다. 군항제 때 꼭 들르는 필수코스인 만큼 가보는 걸 추천. 여좌천 끝에 있는 호수공원도 조용하게 둘러보기 좋습니다.,2019년 5월 26일
여좌천,narae oh,여기만한 곳이 없죠,전국에서 가장 아름답다고 자부합니다제 고향이지만 이제는 관광객이 너무 많아서 쉽게 갈 수 없다는것이 슬퍼요 새벽에 가면 독사진을 건질수도 있어요  장관입니다,2019년 5월 14일
여좌천,happy_wings,진해 벚꽃 구경하기 최고의 포인트,사람들로 발 디딜틈이 없을 정도로 핫스팟인곳...주차가 매우 힘들어 멀리 대 놓고 걸어오는 것이 여유롭게 즐기고 갈 수 있을 듯...진해에 가면 벚꽃 필때 꼭 들러야할 곳,2019년 4월 27일
여좌천,회숙김,벚꽃축제,"벚꽃이 피는  때가 되면 밤은 밤대로 낮은 낮대로 예뻐요여좌천 주변은 주민들이 거주하고 있는 곳이고, 주차공간이 많지 않아요.요즘은 국내뿐만 아니라 외국 관광객도 많이 오시더라구요. 봄소식을 가장 먼저 알리는 축제이다보니 찾으시는 분들이 많나봐요.",2019년 4월 14일
여좌천,duck3222,여좌천,로망스 다리~드라마로 대박이 난곳입니다. ㅎ 군항제때는 항상 사람 많아요~사진을 찍어주시는분들께 부닥하면 인생샷을 건질수도있어요 물론 돈을 드려야합니다.  낮도 추천하고 밤도 추천할께요..,2019년 3월 28일
여좌천,Sienna,좁지만 벚꽃길을 만날 수 있는 곳,진해의 유명한 벚꽃명소입니다.길은 좁고 사람은 많아 구경하기도 어렵고 사진찍기도 힘들지만 가볼만 합니다. 밤에는 조형물에 불도 켜주니 더 좋을듯 하네요.주차는 인근 주택내 공영주차장을 이용하시는게 낫습니다.,2019년 3월 26일
여좌천,zwiebel4404,주차 및 들어가는데 차가 좀 막히나 가서 볼만함,주차 및 들어가는데 차가 좀 막히나 가서 볼만함야간에도 예쁘고 주간에도 이쁩니다평일 야간에 가면 여우도 좀 있고 좋습니다 ^^좋긴 확실이 좋아요,2019년 3월 20일
여좌천,hm2114l,꽃도 많고 사람도 많고,진해하면 벚꽃이니 한번쯤 가볼만합니다.나무들이 오래되서 벚꽃이 진짜 예뻐요중간중간 파는 먹거리들도 축제느낌이 나게하네요여죄천 주변도로를 통제해서 다니기도 편했어요,2018년 12월 7일
여좌천,슬기 한,군항제 전/후로 가면 좋아요,"군항제 때 가면 모두들 아시다시피 벚꽃보단 사람만 보고 오게되고,군항제 시작 전이나 끝난 직후 즈음엔 벚꽃도 그럭저럭 볼만하고 사람도 많이 없어서 구경하기 좋아요.",2018년 6월 18일
여좌천,soapywater03,가족나들이로 진해 여좌천 방문,가족 나들이로 진해 여좌천 방문하였습니다. 커플들이 대부분이었지만 가족단위로 벗꽃구경 나온 사람들도 많았어요 ~ 저녁때는 벗꽃에 조명이 비춰져서 더 사진도 잘나오고 분위기 있게 산책하기 좋았습니다,2018년 3월 31일
여좌천,nyaongg,봄에 예쁨,하천에 엄청 예쁘게 꾸며놓고 먹거리도 많고 좋으나 단점은 사람이 심각하게 많고 차는 움직이지 않음,2018년 1월 23일
여좌천,FromCharlie,그냥 여의도나 가세요,"제가 여길 가고 얼마나 후회했는지, 차는 엄청 막히고. 야시장만 득실득실. 참 별롭니다..",2017년 12월 12
여좌천,MOre B,봄에 오세요,교토의 ‘철학의 길’이랑 비슷한 분위기에요. 벗꽃이 매우 예쁘니 봄에 오시는것을 추천합니다.,2017년 12월 5일
여좌천,binarystar06,군항제때 뚜벅이로 오세요,진해에 n년동안 살고있는 사람입니다. 이 지역자체가 주차공간이 많지 않고 외부랑 연결된 터널이 두개밖에 없어서 교통이 매우 혼잡합니다. 대중교통을 이용하는게 훨씬 덜 번잡스러우니 참고하시고 낮에도 보기 좋지만 개인적으론 밤의 풍경이 훨씬 좋습니다. 군항제가 시작되기 전과 후의 모습이 훨씬 좋고 사람도 없어서 한적하게 거닐다 오기 좋아요,2017년 11월 22
여좌천,고니 김,좋아요,산책하기 좋고 벚꽃필때 가면 정말 예쁘죠 하지만 사람이 너무 많아서 가는걸 추천하진 않습니다. 특별한 이벤트 없을때 가면 조용하고 걷기 좋아요 위쪽으로 죽 올라가면 카페가 여러개 있는데 커피한잔 해도 좋습니다.,2017년 11월 22
여좌천,dulheemom,봄과 가을에 최고~,로망스 다리 주위 벚꽃이 늘어진 광경이 최고지요.가을에도 단풍이 들기 시작하면 나름 운치있고 좋았어요.,2017년 11월 20
여좌천,선화 김,봄이되면 행복해 지는 곳,한국의 창원과 진해는 벚꽃이 만발하는 봄이되면 도시 곳곳이 모두 아름다운 곳이다. 다만 4월초 벚꽃축제 기간에는 도로에 차가 너무 많으니 대중교통을 이용하는게 좋다. 축제를 전후한 하루 이틀이 여러모로 좋은거 같다. 우리는 축제가 끝난 하루뒤 였다. 꽃이 만발한 나무는 아니였지만 벚꽃 비가 내리는 여좌천과 도시 모든 곳이 나름 멋있다,2017년 10월 17
여좌천,ChangHyo S,진해 여좌천은 꼭 방문해야하는 곳이에요,정말 아름다운 곳이에요. 벚꽃하면 오사카를 생각하는데 오사카보다 더 아름다운 곳이에요. 연인끼리 꼭 방문하세요,2017년 10월 1일
